日期,指标,时间段,数值,单位
2025-03-20,指定时段计划购电量,10:00-10:10,0.000000,kWh
2025-03-20,指定时段计划购电量,12:00-12:10,572.037833,kWh
2025-03-20,指定时段计划购电量,14:00-14:10,0.000000,kWh
2025-03-20,指定时段计划购电量,16:00-16:10,536.495233,kWh
2025-03-20,指定时段计划购电量,18:00-18:10,697.400217,kWh
2025-03-20,指定时段计划购电量,20:00-20:10,0.000000,kWh
2025-03-20,全天的计划购电量,00:00-24:00,70440.465233,kWh
2025-03-20,全天购电费（含紧急购电）,00:00-24:00,43626.832001,元
2025-06-21,指定时段计划购电量,10:00-10:10,0.000000,kWh
2025-06-21,指定时段计划购电量,12:00-12:10,0.000000,kWh
2025-06-21,指定时段计划购电量,14:00-14:10,0.000000,kWh
2025-06-21,指定时段计划购电量,16:00-16:10,221.100983,kWh
2025-06-21,指定时段计划购电量,18:00-18:10,0.000000,kWh
2025-06-21,指定时段计划购电量,20:00-20:10,0.000000,kWh
2025-06-21,全天的计划购电量,00:00-24:00,36208.547083,kWh
2025-06-21,全天购电费（含紧急购电）,00:00-24:00,20815.339262,元
2025-09-23,指定时段计划购电量,10:00-10:10,0.000000,kWh
2025-09-23,指定时段计划购电量,12:00-12:10,440.307117,kWh
2025-09-23,指定时段计划购电量,14:00-14:10,0.000000,kWh
2025-09-23,指定时段计划购电量,16:00-16:10,556.916467,kWh
2025-09-23,指定时段计划购电量,18:00-18:10,784.318400,kWh
2025-09-23,指定时段计划购电量,20:00-20:10,0.000000,kWh
2025-09-23,全天的计划购电量,00:00-24:00,68521.529638,kWh
2025-09-23,全天购电费（含紧急购电）,00:00-24:00,45389.193514,元
2025-12-21,指定时段计划购电量,10:00-10:10,0.000000,kWh
2025-12-21,指定时段计划购电量,12:00-12:10,973.586933,kWh
2025-12-21,指定时段计划购电量,14:00-14:10,0.000000,kWh
2025-12-21,指定时段计划购电量,16:00-16:10,835.564717,kWh
2025-12-21,指定时段计划购电量,18:00-18:10,720.824933,kWh
2025-12-21,指定时段计划购电量,20:00-20:10,0.000000,kWh
2025-12-21,全天的计划购电量,00:00-24:00,97553.730884,kWh
2025-12-21,全天购电费（含紧急购电）,00:00-24:00,63291.726689,元
